id,direction,entryTime,entryPrice,exitTime,exitPrice,stopLoss,takeProfit,exitReason,pnlUsd,gateScore,confidence,trailingPhase,mfeMaxUsd,maeMaxUsd,mfeMaxR,maeMaxR,peakPrice,troughPrice,initialStopLoss,initialRiskUsd,timeToMfeBars,timeToMaeBars,timeToCloseBars,maeOccurredBeforeMfe,maeBeforeMfeUsd,maeAfterMfeUsd,maeBeforeMfeR,maeAfterMfeR,touched0_5R,touched1R,touched2R,touched3R,feeRateRtPct,entryFeeUsd,exitFeeAtPeakUsd,mfeMaxUsdAfterFeesEstimate,mfeMaxRAfterFeesEstimate,touched0_5RAfterFeesEstimate,touched1RAfterFeesEstimate,touched2RAfterFeesEstimate,touched3RAfterFeesEstimate,delta24hAtEntry,atrPctAtEntry,volatilityBucket,htfDistancePct,entryHourUtc,sessionLabel,delta24hBucket
1,"LONG",1622629799999,2687.3,1622632499999,2670.7717282013446,2670.7717282013446,2712.0924076979836,"SL",-3.207620379680302,0,0.65,0,2.7888999999999697,3.88275,1.010389967168749,1.4066806429145913,2704,2664.05,2670.7717282013446,2.7602213903754893,1,3,3,0,0,3.88275,0,1.4066806429145913,1,1,0,0,0.1,0.22438955000000002,0.225784,2.3387264499999696,0.8472966908215355,1,0,0,0,3.715956300969377,0.74527999884472,"HIGH",2.344652158677982,10,"EU","MOMENTUM_EXTREME"
2,"LONG",1622634299999,2694.95,1622640599999,2698.6,2698.6,2728.382776027851,"TRAILING_SL",0.1582353500000151,0,0.65,1,8.905900000000015,2.216099999999985,2.407069037071902,0.5989631247886229,2748.6,2681.6,2672.661482648099,3.6998938804155226,7,6,7,1,2.216099999999985,0,0.5989631247886229,0,1,1,1,0,0.1,0.22368085,0.22813380000000003,8.454085350000016,2.2849534671114853,1,1,1,0,2.7075365793329182,0.7951731940102418,"HIGH",2.2752888048068347,11,"EU","NORMAL"
3,"LONG",1622642399999,2732.3,1622646899999,2786.617927801706,2743.45,2786.617927801706,"TP",8.455588889400044,0,0.65,1,10.02859999999994,1.8204000000000597,1.6886689848488332,0.306528630119751,2793.45,2721.2,2696.088048132196,5.93876010631988,5,1,5,1,1.8204000000000597,0,0.306528630119751,0,1,1,0,0,0.1,0.22404860000000001,0.22906289999999999,9.57548849999994,1.6123716615207178,1,1,0,0,3.786512802019474,0.806109489753345,"HIGH",2.895884990924704,13,"OVERLAP","MOMENTUM_EXTREME"
4,"LONG",1622663099999,2756.25,1622664899999,2742.46875,2742.46875,2776.921875,"SL",-2.694489328125,0,0.65,0,1.42625,3.3007500000000003,0.634920634920635,1.4693877551020411,2765,2736,2742.46875,2.24634375,1,2,2,0,0,3.3007500000000003,0,1.4693877551020411,1,0,0,0,0.1,0.224634375,0.2253475,0.976268125,0.43460317460317466,0,0,0,0,8.868121685297988,0.6731858586482298,"HIGH",2.2310140876707703,19,"US","MOMENTUM_EXTREME"
5,"LONG",1622708099999,2833,1622714399999,2871.356825903489,2807.4287827310072,2871.356825903489,"TP",5.6097343035049105,0,0.65,0,6.636,1.3587999999999856,1.6424716726695878,0.33631562821329297,2875,2824.4,2807.4287827310072,4.040252328500857,7,3,7,1,1.3587999999999856,0,0.33631562821329297,0,1,1,0,0,0.1,0.22380700000000003,0.227125,6.185068,1.5308618118648496,1,1,0,0,5.886305102459791,0.7721396490168146,"HIGH",3.5299425285154022,8,"EU","MOMENTUM_EXTREME"
6,"LONG",1622716199999,2875.75,1622718899999,2861.37125,2861.37125,2897.318125,"SL",-2.690580457499977,0,0.65,0,1.1075999999999857,7.176,0.49378423020081585,3.1991654351039185,2882.85,2829.75,2861.37125,2.243084999999977,1,3,3,0,0,7.176,0,3.1991654351039185,0,0,0,0,0.1,0.22430850000000002,0.22486230000000001,0.6584291999999856,0.29353733808571336,0,0,0,0,6.818856167940078,0.7088532157295767,"HIGH",4.34851715786945,10,"EU","MOMENTUM_EXTREME"
7,"LONG",1622751299999,2792.5,1622754899999,2828.0459186018797,2797.6,2828.0459186018797,"TP",5.270438948455189,0,0.65,1,8.871099999999986,0.19319999999997073,2.3251614601860275,0.05063872508571352,2847.6,2791.3,2768.8027209320803,3.8152619299350685,4,1,4,1,0.19319999999997073,0,0.05063872508571352,0,1,1,1,0,0.1,0.22479625000000003,0.22923179999999999,8.417071949999986,2.2061583462877046,1,1,1,0,1.958498059720527,0.6846400147618705,"HIGH",0.2978439073318137,20,"US","NORMAL"
8,"LONG",1622756699999,2813,1622758499999,2834.0975,2798.935,2834.0975,"TP",2.905558248749977,0,0.65,0,4.555350000000015,0,2.0369712051190887,0,2841.65,2813,2798.935,2.236335000000009,2,0,2,0,0,0,0,0,1,1,1,0,0.1,0.2236335,0.22591117500000002,4.105805325000015,1.8359527195165297,1,1,0,0,3.426602898869404,0.6938954854180426,"HIGH",1.04744713548548,21,"US","MOMENTUM_EXTREME"
9,"LONG",1622760299999,2833.05,1622762099999,2854.297875,2818.88475,2854.297875,"TP",2.9078637678750034,0,0.65,0,3.5945,1.335100000000043,1.6060429572368984,0.5965302412594387,2855.8,2824.6,2818.88475,2.2381095000000024,2,2,2,0,0.04740000000002874,0,0.02117858844709282,0,1,1,0,0,0.1,0.22381095000000004,0.2256082,3.1450808500000003,1.4052399357582803,1,1,0,0,5.733799828786251,0.6547087254817192,"HIGH",1.6280624208884775,22,"US","MOMENTUM_EXTREME"
10,"LONG",1622764799999,2855,1622765699999,2840.725,2840.725,2876.4125,"SL",-2.6882894125000143,0,0.65,0,0.8399499999999858,6.28,0.37478108581435204,2.802101576182119,2860.35,2815,2840.725,2.2411750000000144,1,1,1,0,0,0,0,0,0,0,0,0,0.1,0.22411750000000003,0.22453747500000001,0.3912950249999858,0.17459369527144614,0,0,0,0,5.5553503490562415,0.6711745553261235,"HIGH",1.907951019078082,23,"US","MOMENTUM_EXTREME"
11,"SHORT",1622895299999,2647.45,1622897099999,2660.68725,2660.68725,2627.5941249999996,"SL",-2.685632847625022,0,0.65,0,3.8870000000000005,2.704,1.737521010783945,1.20871026837144,2624.45,2663.45,2660.68725,2.237095250000022,2,2,2,0,1.4534000000000615,0,0.6496817692496765,0,1,1,0,0,0.1,0.22370952500000002,0.221766025,3.4415244500000006,1.538389771289339,1,1,0,0,2.840245895261069,1.1359710020959486,"HIGH",-3.0878650333297695,12,"OVERLAP","NORMAL"
12,"SHORT",1622899799999,2647.45,1622900699999,2627.5941249999996,2660.68725,2627.5941249999996,"TP",2.9099016464375334,0,0.65,0,4.292599999999939,0.12675,1.9188275510396335,0.05665829382991124,2622.05,2648.2,2660.68725,2.237095250000022,1,1,1,0,0,0,0,0,1,1,0,0,0.1,0.22370952500000002,0.22156322500000003,3.8473272499999385,1.7197869648151551,1,1,0,0,-0.41373603640877127,1.117443210952226,"HIGH",-2.6446846665820476,13,"OVERLAP","CONSOLIDATION"
13,"LONG",1623067199999,2808.8,1623071699999,2844.9468807195494,2784.7020795203007,2844.9468807195494,"TP",5.331201164670316,0,0.65,0,6.215999999999986,0.24,1.6121723047732612,0.06224603493333069,2847.65,2807.3,2784.7020795203007,3.8556672767519196,5,1,5,1,0.24,0,0.06224603493333069,0,1,1,0,0,0.1,0.22470400000000001,0.22781200000000001,5.763483999999986,1.4948084433403819,1,1,0,0,4.59753012944502,0.5568895779634463,"HIGH",2.07752221456525,11,"EU","MOMENTUM_EXTREME"
14,"SHORT",1623143699999,2521.3,1623144599999,2493.841368593876,2539.60575427075,2493.841368593876,"TP",4.441288808485282,0,0.65,0,5.838400000000032,0,1.7917863156510527,0,2488.5,2521.3,2539.60575427075,3.258424260193452,1,0,1,0,0,0,0,0,1,1,0,0,0.1,0.2243957,0.2214765,5.392527800000033,1.6549495613195193,1,1,0,0,-9.466580049083303,1.1900543845259155,"HIGH",-3.425446545511527,9,"EU","MOMENTUM_EXTREME"
15,"SHORT",1623146399999,2495.6,1623161699999,2423.65,2423.65,2389.1030605166397,"TRAILING_SL",12.508267499999967,0,0.65,1,21.950999999999965,8.199000000000032,1.7176549944759756,0.6415677326640518,2373.65,2541.15,2566.5979596555735,12.779632738003247,17,8,17,1,8.199000000000032,0,0.6415677326640518,0,1,1,0,0,0.1,0.224604,0.2136285,21.512767499999967,1.683363516075598,1,1,0,0,-10.494558775993976,1.1232775110113082,"HIGH",-3.7016132954937873,9,"EU","MOMENTUM_EXTREME"
16,"SHORT",1623170699999,2408.5,1623176099999,2445.8162131844306,2445.8162131844306,2352.5256802233544,"SL",-7.39226706013024,0,0.65,0,4.361699999999966,8.2305,0.6284131748337167,1.1858116412107538,2385.05,2452.75,2445.8162131844306,6.940815652304088,1,6,6,0,0,8.2305,0,1.1858116412107538,1,0,0,0,0.1,0.2239905,0.22180965,3.915899849999966,0.56418439073512,1,0,0,0,-13.41798712104767,1.4855657020892425,"HIGH",-5.230003363171542,16,"US","MOMENTUM_EXTREME"
17,"SHORT",1623315599999,2519.75,1623318299999,2542.6384461776543,2542.6384461776543,2485.4173307335186,"SL",-4.524695991332269,0,0.65,0,4.636900000000032,5.420099999999968,1.1381288095227937,1.3303655374268186,2493.7,2550.2,2542.6384461776543,4.074143419622458,1,3,3,0,0,5.420099999999968,0,1.3303655374268186,1,1,0,0,0.1,0.22425775,0.22193929999999998,4.190702950000032,1.0286095795784174,1,1,0,0,1.253501541685976,0.6685437012989245,"HIGH",-1.3575368524829634,8,"EU","NORMAL"
18,"LONG",1623325499999,2567.4,1623327299999,2554.563,2554.563,2586.6555000000003,"SL",-2.694646762499998,0,0.65,0,1.154999999999984,2.607500000000016,0.5141388174807131,1.1607073303731483,2574,2552.5,2554.563,2.246474999999998,1,2,2,0,0,2.607500000000016,0,1.1607073303731483,1,0,0,0,0.1,0.22464749999999997,0.225225,0.705127499999984,0.3138817480719726,0,0,0,0,2.6101011713527464,0.7496267388268202,"HIGH",0.7835401029613306,11,"EU","NORMAL"
19,"LONG",1623333599999,2542,1623337199999,2509.569527626219,2509.569527626219,2590.6457085606717,"SL",-6.18725751335415,0,0.65,0,3.009,6.885300000000016,0.5241983466680546,1.1994891579639633,2559,2503.1,2509.569527626219,5.7401936101592295,1,4,4,0,0,6.885300000000016,0,1.1994891579639633,1,0,0,0,0.1,0.224967,0.2264715,2.5575615,0.445553177069415,0,0,0,0,0.7104549682373124,0.6982999114142833,"HIGH",-0.2939740964024818,13,"OVERLAP","CONSOLIDATION"
20,"SHORT",1623371399999,2493.6,1623372299999,2474.898,2506.0679999999998,2474.898,"TP",2.9191951799999583,0,0.65,0,8.387999999999984,0,3.737568174526827,0,2447,2493.6,2506.0679999999998,2.2442399999999725,1,0,1,0,0,0,0,0,1,1,1,1,0.1,0.22442399999999998,0.22022999999999998,7.943345999999983,3.539436958614088,1,1,1,1,-5.039710912288147,0.8138268900030652,"HIGH",-2.015448377653678,0,"ASIA","MOMENTUM_EXTREME"
21,"SHORT",1623374099999,2442.35,1623374999999,2424.032375,2454.56175,2424.032375,"TP",2.9227358215000248,0,0.65,0,7.286399999999984,0,3.242778471554045,0,2402.75,2442.35,2454.56175,2.246961999999989,1,0,1,0,0,0,0,0,1,1,1,1,0.1,0.22469619999999998,0.221053,6.840650799999983,3.0443998607898206,1,1,1,1,-6.826188230311654,0.85691869324244,"HIGH",-3.2401117091023264,1,"ASIA","MOMENTUM_EXTREME"
22,"SHORT",1623379499999,2426.75,1623381299999,2438.88375,2438.88375,2408.549375,"SL",-2.6948148718749936,0,0.65,0,1.0082499999999663,8.00125,0.4491603997115347,3.5644380344081696,2421.3,2470,2438.88375,2.2447437499999934,1,2,2,0,0,8.00125,0,3.5644380344081696,0,0,0,0,0.1,0.224474375,0.22397025000000004,0.5598053749999663,0.24938497991138986,0,0,0,0,-5.5567462250365285,0.8171741185744924,"HIGH",-2.8334031681520506,2,"ASIA","MOMENTUM_EXTREME"
